event_id,is_anomalous,anomaly_type,severity,generation_reason
EVT_000001,False,NORMAL,none,Standard event within normal baseline
EVT_000002,False,NORMAL,none,Standard event within normal baseline
EVT_000003,False,NORMAL,none,Standard event within normal baseline
EVT_000004,False,NORMAL,none,Standard event within normal baseline
EVT_000005,False,NORMAL,none,Standard event within normal baseline
EVT_000006,False,NORMAL,none,Standard event within normal baseline
EVT_000007,False,NORMAL,none,Standard event within normal baseline
EVT_000008,False,NORMAL,none,Standard event within normal baseline
EVT_000009,False,NORMAL,none,Standard event within normal baseline
EVT_000010,False,NORMAL,none,Standard event within normal baseline
EVT_000011,False,NORMAL,none,Standard event within normal baseline
EVT_000012,False,NORMAL,none,Standard event within normal baseline
EVT_000013,False,NORMAL,none,Standard event within normal baseline
EVT_000014,False,NORMAL,none,Standard event within normal baseline
EVT_000015,False,NORMAL,none,Standard event within normal baseline
EVT_000016,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000017,False,NORMAL,none,Standard event within normal baseline
EVT_000018,False,NORMAL,none,Standard event within normal baseline
EVT_000019,False,NORMAL,none,Standard event within normal baseline
EVT_000020,False,NORMAL,none,Standard event within normal baseline
EVT_000021,False,NORMAL,none,Standard event within normal baseline
EVT_000022,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000023,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000024,False,NORMAL,none,Standard event within normal baseline
EVT_000025,False,NORMAL,none,Standard event within normal baseline
EVT_000026,False,NORMAL,none,Standard event within normal baseline
EVT_000027,False,NORMAL,none,Standard event within normal baseline
EVT_000028,False,NORMAL,none,Standard event within normal baseline
EVT_000029,False,NORMAL,none,Standard event within normal baseline
EVT_000030,False,NORMAL,none,Standard event within normal baseline
EVT_000031,False,NORMAL,none,Standard event within normal baseline
EVT_000032,False,NORMAL,none,Standard event within normal baseline
EVT_000033,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000034,False,NORMAL,none,Standard event within normal baseline
EVT_000035,False,NORMAL,none,Standard event within normal baseline
EVT_000036,False,NORMAL,none,Standard event within normal baseline
EVT_000037,False,NORMAL,none,Standard event within normal baseline
EVT_000038,False,NORMAL,none,Standard event within normal baseline
EVT_000039,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000040,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000041,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000042,False,NORMAL,none,Standard event within normal baseline
EVT_000043,False,NORMAL,none,Standard event within normal baseline
EVT_000044,False,NORMAL,none,Standard event within normal baseline
EVT_000045,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000046,False,NORMAL,none,Standard event within normal baseline
EVT_000047,False,NORMAL,none,Standard event within normal baseline
EVT_000048,False,NORMAL,none,Standard event within normal baseline
EVT_000049,False,NORMAL,none,Standard event within normal baseline
EVT_000050,False,NORMAL,none,Standard event within normal baseline
EVT_000051,False,NORMAL,none,Standard event within normal baseline
EVT_000052,False,NORMAL,none,Standard event within normal baseline
EVT_000053,False,NORMAL,none,Standard event within normal baseline
EVT_000054,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000055,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000056,False,NORMAL,none,Standard event within normal baseline
EVT_000057,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000058,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000059,False,NORMAL,none,Standard event within normal baseline
EVT_000060,False,NORMAL,none,Standard event within normal baseline
EVT_000061,False,NORMAL,none,Standard event within normal baseline
EVT_000062,False,NORMAL,none,Standard event within normal baseline
EVT_000063,False,NORMAL,none,Standard event within normal baseline
EVT_000064,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000065,False,NORMAL,none,Standard event within normal baseline
EVT_000066,False,NORMAL,none,Standard event within normal baseline
EVT_000067,False,NORMAL,none,Standard event within normal baseline
EVT_000068,False,NORMAL,none,Standard event within normal baseline
EVT_000069,False,NORMAL,none,Standard event within normal baseline
EVT_000070,False,NORMAL,none,Standard event within normal baseline
