location_id,latitude,longitude,region_name_synthetic
LOC_000001,24.149109,72.400172,Central-Highlands
LOC_000002,16.652945,74.232607,South-Metro
LOC_000003,24.85729,86.274873,South-Metro
LOC_000004,23.219358,72.508523,South-Metro
LOC_000005,16.154122,80.085685,North-Metro
LOC_000006,22.663656,83.456314,Suburban-West
LOC_000007,19.970877,79.187345,Central-Highlands
LOC_000008,27.379179,72.10398,East-Coast
LOC_000009,25.264649,77.444008,East-Coast
LOC_000010,16.090961,84.215906,South-Metro
LOC_000011,13.762171,73.547462,Tech-Park-Alpha
LOC_000012,23.470795,84.914052,Industrial-Zone
LOC_000013,22.188334,87.569852,Financial-District
LOC_000014,13.497204,76.690853,Border-Transit
LOC_000015,28.823583,77.78616,West-Harbor
